ga.regionId,ga.source,ga.medium,ga.sessions,ga.deviceCategory,ga.users,ga.pageviews,ga.transactions,ga.transactionRevenue
0,(direct),(none),1101,desktop,458,3646,0,0
20008,(direct),(none),10,desktop,3,40,0,0
20008,androidpit.es,referral,26,desktop,3,290,0,0
20008,androidpit.es,referral,3,desktop,3,36,0,0
20008,centrocomercialmontigala.com,referral,7,desktop,3,20,0,0
20008,google,organic,16,desktop,7,56,0,0
20008,(direct),(none),7,desktop,3,7,0,0
20008,google,organic,76,desktop,7,1210,0,0
20008,google,organic,3,desktop,3,125,0,0
20009,(direct),(none),145,desktop,66,3867,0,0
20009,(direct),(none),92,mobile,36,211,0,0
20009,(direct),(none),26,tablet,10,135,0,0
20009,androidpit.es,referral,7,mobile,3,20,0,0
20009,ar.search.yahoo.com,referral,10,desktop,3,465,0,0
20009,bestsearch.space,referral,10,desktop,3,10,0,0
20009,blog.ofertitas.es,referral,13,mobile,7,20,0,0
20009,cdn.viglink.com,referral,7,desktop,3,20,0,0
20009,cuponesmagicos.com,referral,33,mobile,3,198,0,0
20009,google,cpc,7,desktop,3,7,0,0
20009,google,cpc,7,tablet,3,7,0,0
20009,google,organic,521,desktop,201,2367,0,0
20009,google,organic,188,mobile,79,1009,0,0
20009,google,organic,53,tablet,20,363,0,0
20009,gouforit.com,referral,7,mobile,3,13,0,0
20009,huaweispain.com,referral,10,desktop,3,10,0,0
20009,reg_site,newsletter,10,desktop,3,59,0,0
20009,samsung,link-building,20,desktop,7,20,0,0
20009,vocento,display,43,desktop,10,132,0,0
20009,vocento,display,13,tablet,7,13,0,0
20009,xataka.com,referral,30,desktop,10,40,0,0
20009,yahoo,display,73,desktop,36,73,0,0
20009,yahoo,display,7,mobile,3,7,0,0
20009,yahoo,organic,7,desktop,3,13,0,0
20009,zonaforo.meristation.com,referral,7,mobile,3,7,0,0
20009,(direct),(none),73,desktop,20,218,0,0
20009,(direct),(none),16,mobile,3,56,0,0
20009,(direct),(none),7,tablet,3,20,0,0
20009,cuponesmagicos.com,referral,7,mobile,3,13,0,0
20009,facebook.com,referral,56,desktop,7,323,0,0
20009,geoanalyticsfinder.maporama.com,referral,13,desktop,3,73,0,0
20009,google,cpc,10,desktop,3,20,0,0
20009,google,organic,171,desktop,56,1081,0,0
20009,google,organic,115,mobile,23,323,0,0
20010,(direct),(none),191,desktop,82,3511,0,0
20010,(direct),(none),129,mobile,46,452,0,0
20010,(direct),(none),40,tablet,16,211,0,0
20010,3djuegos.com,referral,7,desktop,3,20,0,0
20010,androidpit.es,referral,13,mobile,7,92,0,0
20010,bing,organic,7,desktop,3,7,0,0
20010,blog.ofertitas.es,referral,13,mobile,7,13,0,0
20010,google,organic,534,desktop,208,1912,0,0
20010,google,organic,178,mobile,73,511,0,0
20010,google,organic,36,tablet,13,422,0,0
20010,gouforit.com,referral,10,desktop,3,40,0,0
20010,laliga.es,referral,7,desktop,3,13,0,0
20010,motorola.es,referral,7,desktop,3,20,0,0
20010,samsung,link-building,26,desktop,10,26,0,0
20010,soluciona,newsletter,13,desktop,7,20,0,0
20010,vocento,display,16,desktop,7,66,0,0
20010,xataka.com,referral,10,desktop,3,10,0,0
20010,yahoo,display,26,desktop,13,26,0,0
20010,(direct),(none),76,desktop,7,96,0,0
20010,(direct),(none),106,mobile,20,1039,0,0
20010,(direct),(none),3,mobile,3,46,0,0
