ga:userType,ga:source,ga:medium,ga:deviceCategory,ga:checkoutOptions,ga:regionId,ga:users,ga:sessions,ga:pageviews,ga:transactions,ga:transactionRevenue
New Visitor,(direct),(none),desktop,(not set),(not set),458,1101,3646,0,0
New Visitor,(direct),(none),desktop,(not set),1012825,7,13,33,0,0
New Visitor,(direct),(none),desktop,(not set),20008,3,10,40,0,0
New Visitor,(direct),(none),desktop,(not set),20009,66,145,3867,0,0
New Visitor,(direct),(none),desktop,(not set),20010,82,191,3511,0,0
New Visitor,(direct),(none),desktop,(not set),20017,7,16,125,0,0
New Visitor,(direct),(none),desktop,(not set),20020,3,10,49,0,0
New Visitor,(direct),(none),desktop,(not set),20021,10,26,73,0,0
New Visitor,(direct),(none),desktop,(not set),20022,3,10,30,0,0
New Visitor,(direct),(none),desktop,(not set),20026,7,16,23,0,0
New Visitor,(direct),(none),desktop,(not set),20050,3,10,40,0,0
New Visitor,(direct),(none),desktop,(not set),20052,13,33,181,0,0
New Visitor,(direct),(none),desktop,(not set),20054,7,16,96,0,0
New Visitor,(direct),(none),desktop,(not set),20055,7,13,59,0,0
New Visitor,(direct),(none),desktop,(not set),20056,13,30,76,0,0
New Visitor,(direct),(none),desktop,(not set),20057,7,43,508,0,0
New Visitor,(direct),(none),desktop,(not set),20058,3,7,7,0,0
New Visitor,(direct),(none),desktop,(not set),20084,3,10,10,0,0
New Visitor,(direct),(none),desktop,(not set),20094,3,7,20,0,0
New Visitor,(direct),(none),desktop,(not set),20099,3,7,7,0,0
New Visitor,(direct),(none),desktop,(not set),20101,7,13,26,0,0
New Visitor,(direct),(none),desktop,(not set),20102,3,10,30,0,0
New Visitor,(direct),(none),desktop,(not set),20106,16,33,73,0,0
New Visitor,(direct),(none),desktop,(not set),20113,3,7,7,0,0
New Visitor,(direct),(none),desktop,(not set),20129,3,10,59,0,0
New Visitor,(direct),(none),desktop,(not set),20131,7,16,59,0,0
New Visitor,(direct),(none),desktop,(not set),20133,3,7,7,0,0
New Visitor,(direct),(none),desktop,(not set),20137,7,16,53,0,0
New Visitor,(direct),(none),desktop,(not set),20148,7,20,148,0,0
New Visitor,(direct),(none),desktop,(not set),20150,3,10,89,0,0
New Visitor,(direct),(none),desktop,(not set),20151,3,10,119,0,0
New Visitor,(direct),(none),desktop,(not set),20160,20,46,106,0,0
New Visitor,(direct),(none),desktop,(not set),20162,3,10,40,0,0
New Visitor,(direct),(none),desktop,(not set),20163,43,86,86,0,0
New Visitor,(direct),(none),desktop,(not set),20168,20,40,40,0,0
New Visitor,(direct),(none),desktop,(not set),20181,7,13,13,0,0
New Visitor,(direct),(none),desktop,(not set),20184,3,7,7,0,0
New Visitor,(direct),(none),desktop,(not set),20198,7,16,16,0,0
New Visitor,(direct),(none),desktop,(not set),20203,10,20,20,0,0
New Visitor,(direct),(none),desktop,(not set),20211,3,7,7,0,0
New Visitor,(direct),(none),desktop,(not set),20226,10,26,175,0,0
New Visitor,(direct),(none),desktop,(not set),20228,53,138,508,0,0
New Visitor,(direct),(none),desktop,(not set),20229,99,260,745,0,0
New Visitor,(direct),(none),desktop,(not set),20230,3,10,49,0,0
New Visitor,(direct),(none),desktop,(not set),20231,16,49,386,0,0
New Visitor,(direct),(none),desktop,(not set),20232,10,43,257,0,0
New Visitor,(direct),(none),desktop,(not set),20235,56,142,504,0,0
New Visitor,(direct),(none),desktop,(not set),20236,3,10,40,0,0
New Visitor,(direct),(none),desktop,(not set),20239,3,10,59,0,0
New Visitor,(direct),(none),desktop,(not set),20243,7,16,56,0,0
New Visitor,(direct),(none),desktop,(not set),20254,13,53,303,30,8248.792626
New Visitor,(direct),(none),desktop,(not set),20260,3,10,10,0,0
New Visitor,(direct),(none),desktop,(not set),20261,3,10,10,0,0
New Visitor,(direct),(none),desktop,(not set),20269,5024,14140,86457,346,74987.45935
New Visitor,(direct),(none),desktop,(not set),20274,23,59,185,0,0
New Visitor,(direct),(none),desktop,(not set),20275,1292,3514,19409,73,5620.454314
New Visitor,(direct),(none),desktop,(not set),20276,1151,3234,22758,92,38854.91234
New Visitor,(direct),(none),desktop,(not set),20277,1629,4161,20160,0,0
New Visitor,(direct),(none),desktop,(not set),20278,79389,172262,248812,290,77377.72999
New Visitor,(direct),(none),desktop,(not set),20279,409,1137,6432,0,0
New Visitor,(direct),(none),desktop,(not set),20280,1939,5308,28317,36,21547.25081
New Visitor,(direct),(none),desktop,(not set),20281,3,7,20,0,0
New Visitor,(direct),(none),desktop,(not set),20282,8552,23217,136669,537,171278.0686
New Visitor,(direct),(none),desktop,(not set),20283,10,20,59,0,0
New Visitor,(direct),(none),desktop,(not set),20284,59,171,890,0,0
New Visitor,(direct),(none),desktop,(not set),20285,13,26,33,0,0
New Visitor,(direct),(none),desktop,(not set),20286,218,537,2440,0,0
New Visitor,(direct),(none),desktop,(not set),20287,653,1698,7293,33,15626.87936
New Visitor,(direct),(none),desktop,(not set),20289,804,2024,9370,0,0
New Visitor,(direct),(none),desktop,(not set),20290,7,13,26,0,0
New Visitor,(direct),(none),desktop,(not set),20313,10,23,82,0,0
New Visitor,(direct),(none),desktop,(not set),20316,3,10,10,0,0
New Visitor,(direct),(none),desktop,(not set),20321,115,297,1424,0,0
New Visitor,(direct),(none),desktop,(not set),20324,20,53,53,0,0
New Visitor,(direct),(none),desktop,(not set),20325,40,99,518,0,0
New Visitor,(direct),(none),desktop,(not set),20326,3,7,40,0,0
New Visitor,(direct),(none),desktop,(not set),20329,10,20,26,0,0
New Visitor,(direct),(none),desktop,(not set),20330,3,10,49,0,0
New Visitor,(direct),(none),desktop,(not set),20333,7,16,16,0,0
New Visitor,(direct),(none),desktop,(not set),20339,610,1869,5717,0,0
New Visitor,(direct),(none),desktop,(not set),20342,10,46,610,0,0
New Visitor,(direct),(none),desktop,(not set),20343,3,7,7,0,0
New Visitor,(direct),(none),desktop,(not set),20412,3,7,40,0,0
New Visitor,(direct),(none),desktop,(not set),20446,3,10,10,0,0
New Visitor,(direct),(none),desktop,(not set),20456,3,10,10,0,0
New Visitor,(direct),(none),desktop,(not set),20462,23,66,1246,0,0
New Visitor,(direct),(none),desktop,(not set),20469,10,26,162,0,0
New Visitor,(direct),(none),desktop,(not set),20474,3,7,79,0,0
New Visitor,(direct),(none),desktop,(not set),20478,2450,7814,47798,0,0
New Visitor,(direct),(none),desktop,(not set),20484,7,46,218,0,0
New Visitor,(direct),(none),desktop,(not set),20517,3,7,26,0,0
New Visitor,(direct),(none),desktop,(not set),20518,3,7,7,0,0
New Visitor,(direct),(none),desktop,(not set),20569,10,26,43,0,0
New Visitor,(direct),(none),desktop,(not set),20696,7,13,13,0,0
New Visitor,(direct),(none),desktop,(not set),20703,7,13,26,0,0
New Visitor,(direct),(none),desktop,(not set),20708,3,10,20,0,0
New Visitor,(direct),(none),desktop,(not set),20709,7,13,33,0,0
New Visitor,(direct),(none),desktop,(not set),20711,3,7,7,0,0
New Visitor,(direct),(none),desktop,(not set),20713,7,20,20,0,0
New Visitor,(direct),(none),desktop,(not set),20716,3,7,7,0,0
New Visitor,(direct),(none),desktop,(not set),20717,3,7,26,0,0
New Visitor,(direct),(none),desktop,(not set),20718,3,7,7,0,0
New Visitor,(direct),(none),desktop,(not set),20724,3,10,10,0,0
New Visitor,(direct),(none),desktop,(not set),20764,3,7,26,0,0
New Visitor,(direct),(none),desktop,(not set),20765,7,13,53,0,0
New Visitor,(direct),(none),desktop,(not set),20766,10,20,59,0,0
New Visitor,(direct),(none),desktop,(not set),20767,3,10,99,0,0
New Visitor,(direct),(none),desktop,(not set),20768,3,7,7,0,0
New Visitor,(direct),(none),desktop,(not set),20769,3,10,129,0,0
